docno,text
d0,"1989 (taylor's version) taylor swift electronic, pop issued in a gatefold sleeve with printed inner sleeves. tracks are listed sequentially on the release. barcode sticker and ""made in france"" sticker attached to backside of the shrink wrap. ℗© 2023 taylor swift. runouts: ""sterling"" is stamped, ""[mpo logo]®"" and mpo stamper numbers are laser etched, everything else is hand-etched. detail of hype sticker on shrink wrap: ""sunrise boulevard yellow edition collect all 4 special editions 2 lp's on sunrise boulevard yellow vinyl 5 previously unreleased songs from the vault unique photos 0245554217”"
d1,"1989 (taylor’s version) taylor swift electronic, pop issued in a gatefold sleeve with printed inner sleeves. sealed copies come with a hype sticker attached to the front shrink wrap. barcode sticker and ""made in france"" sticker attached to rear shrink wrap. tracks are listed sequentially on the release. ℗© 2023 taylor swift. runouts: ""sterling"" is stamped, ""[mpo logo]®"" and mpo stamper numbers are laser etched, everything else is hand-etched."
d2,"can't catch me now olivia rodrigo pop, stage & screen limited vinyl of the single from ""the hunger games: the ballad of songbirds & snakes"". ""made in france"" sticker on back."
d3,"1962-1966 / 1967-1970 the beatles rock the classic compilation now expanded with extra tracks including the single ""now and then"". 6 lps featuring 75 tracks. half speed master on 180 gram black vinyl. the two compilation albums are presented in a sturdy side opening slipcase type box which has a v-cut notch to the open edge. there is text to one closed edge. the artist to the front is in silver foil block detail. package came shrink-wrapped affixed to which is a barcoded hype sticker. copies may come with a second sticker on the reverse showing ""made in germany"". ℗ 1962 : a1 ℗ 1963 : a2 to a6 ℗ 1964 : a7 to b4 ℗ 1965 : b6 to d4 ℗ 1966 : d5 to d7 ℗ 1967 : e1 to f4 ℗ 1968 : f5 to f7, g4 to g7 ℗ 1969 : g1 to g3, h1 to h4 ℗ 1970 : h5 to h7 ℗ 1973 on all labels"
d4,before these crowded streets dave matthews band rock features booklet with an essay and rare photos
d5,"k. b. blues kenny burrell runouts are etched. on the back cover: a blue note records release; ℗ 1979 © 2023 capitol records, llc. distributed by universal music enterprises, a division of umg recordings, inc. blue note® is a registered trademark of capitol records, llc."
d6,the second stage turbine blade coheed and cambria rock 48-hour pre-order version sold through equal vision webstore.
d7,"yield pearl jam vmp exclusive. pressed on 2lps for the very first time on 180g translucent red & black hi-melt vinyl in a gatefold, direct-to-board and die cut jacket."
d8,"hackney diamonds rolling stones rock limited edition of 5000 copies worldwide. first copies exclusive to the rs no. 9 carnaby store. later also available at the launch party of the hackney diamonds pop-up store and bus tour all over europe. lp housed into a plastic pvc bag, with printed on front a big red rs/carnaby 9 logo. a red sticker on front says:""the first original album since 2005 rs no.9 carnaby exclusive red heavy weight vinyl 558 083-9"". on back, a white sticker says:"" made in czech republic"". gatefold cover. includes a printed inner sleeve. record is housed in a generic black poly-lined paper sleeve. ""made in the eu"" is on labels, inner and back cover. runouts: everything etched, except for 17##### and 266240e1/2 which are stamped."
d9,"1989 (taylor's version) taylor swift electronic, pop issued in a standard jewel case with a 16-page booklet. includes 1 set of 5 unique double-sided collectible photo cads with 15 never-before-seen photos and lyrics ""from the vault"". 'made in germany' sticker and stickered barcode on the reverse, there is no hype sticker on the front. sold via the artist's webstores. ℗ © 2023 taylor swift."
d10,"danse macabre duran duran pop printed on shrink (back sleeve): made in canada whilst arguably not part of the release according to the discogs people who complain about things, the uk hmv version came with an exclusive 12"" print - as shown in the extra image. additional notes: - 500 copies of this release were retailed by assai records with an artist-approved, hand-numbered japanese style obi under assai records obi editions."
d11,"aja steely dan handmade limited run reissue. pressed 45 rpm lp, limited to 30,000 numbered copies. housed in a full-color, tip-on, stoughton, gatefold jacket inside a textured slip-case w/ leatherette dowell featuring gold-foil stamp numbering. mastered from an analog, non eq'd tape copy. pressed using clarity vinyl® on a manual finebilt press. a geffen records release; ℗ 1977 © 2023 umg recordings, inc. manufactured by universal music enterprises, a division of umg recordings, inc. * assistant engineers misspelt as ""assistand"" on the gatefold."
d12,"no room for squares hank mobley recorded on march 7 (a3, b3) and october 2 (all others), 1963. a blue note records release; originally released in 1964 on blue note records © 2023 capitol records, llc. universal international music b.v. blue note® is a registered trademark of capitol records, llc. made in the eu."
d13,"the masterplan oasis (2) rock limited to 15,000 copies and hand-numbered to order both 'zoetrope' picture discs are in individual glass-clear pvc sleeves with flaps, held in place with a numbered paper 'belly-band' tracks are listed as 1-14 on the 'belly-band' ""zoetrope picture disc images taken from 'the masterplan' official video, directed by ben & greg"" made in germany"
d14,now and then / love me do the beatles rock barcode on hype sticker made in e.u.
d15,"hackney diamonds rolling stones rock, blues store exclusive transparent purple version issued in a black poly lined inner sleeve with an additional printed inner sleeve. housed in a glossy gatefold jacket. runout details are hand etched except laser etched '266240e1' & '1705338' (side a) and '266240e2' & '1705345' / '1700655' (side b). available from the following stores: - in germany: - in france: - in the uk: - in australia: - in sweden: - in norway: - in usa: - in the netherlands: - in canada: [sticker on shrink, front:] the first original studio album since 2005 store exclusive transparent purple heavyweight vinyl 554 646-1 [rear jacket:] a polydor records release. ℗ 2023 promotone b.v. © 2023 promotone b.v. the copyright in this sound recording is owned by promotone b.v. and is under exclusive licence to universal international music b.v. made in the eu. [sticker on shrink, rear:] made in czech republic [inner sleeve:] all tracks [...] published by bmg rights management (uk) limited / promopub bv. except angry / get close / depending on you [...] published by bmg rights management (uk) limited / promopub bv / andrew watt music (bmi), admin by songs of kobalt music publishing (bmi). and rolling stone blues [...] published by sony music publishing ltd. all tracks mixed [...] at mixstar studios, virginia beach, va [...]. mastered [...] at metropolis studio, london. recorded at henson recording studios, los angeles. metropolis studios, london. sanctuary studios, nassau, bahamas. electric lady studios, new york & the hit factory / germano studios, inc. new york. lady gaga appears courtesy of . elton john appears courtesy of . paul mccartney appears courtesy of . stevie wonder appears courtesy of so what the fuss music, a division of"
d16,"1989 (taylor's version) taylor swift electronic, pop issued in a standard jewel case with a 16-page booklet with lyrics, photos and credits. includes 1 set of 5 unique double-sided collectible photo cards with 15 never-before-seen photos and lyrics ""from the vault"". ""disc made in mexico"" in blue dots on shrink-wrap and stickered barcode on the reverse, there is no hype sticker on the front. sold via the artist's webstores. ℗© 2023 taylor swift."
d17,"one more time... blink-182 rock colour-changing lenticular sleeve, limited to 5,000 copies and hand-numbered to order"
d18,before these crowded streets dave matthews band rock first vinyl pressing in 25 years. includes booklet with new essay and rare photos. web store exclusive pressing
d19,"live 1978-1992 dire straits rock alchemy - expanded edition with 3 previously unreleased recordings (""industrial disease"", ""twisting by the pool"" ""portobello belle"") and ""love over gold"" which was exclusive to the cd edition of alchemy. on the night - expanded edition with 7 previously unreleased recordings (""sultans of swing"", ""fade to black"", ""when it comes to you"", ""i think i love you too much"", ""two young lovers"", ""tunnel of love"", ""telegraph road""). live at the rainbow exclusive to this box set."
